name,mos,noise,score1,blur,score2,colorimba,score3,overexposure,score4,underexposure,score5,oversaturated,score6,us,score7,whitebalance,score8,oversharp,score9,othercolor,score10,none
179.png,3.133333333,0.0,0.0,0.03125,4.0,0.0625,3.0,0.0,0.0,0.09375,3.66666666666667,0.3125,3.7,0.0,0.0,0.0625,4.0,0.03125,2.0,0.0,0.0,0.40625
179_Zero_dce_v1.png,3.5,0.25,3.66666666666667,0.0555555555555556,4.0,0.0277777777777778,4.0,0.0,0.0,0.166666666666667,4.0,0.0277777777777778,2.0,0.0277777777777778,3.0,0.0277777777777778,4.0,0.0,0.0,0.0277777777777778,4.0,0.388888888888889
179_SNRNet_v1.png,3.533333333,0.03125,3.0,0.25,4.0,0.09375,3.66666666666667,0.0,0.0,0.09375,4.0,0.0625,3.5,0.0,0.0,0.03125,4.0,0.03125,4.0,0.0,0.0,0.40625
179_SCI_v1.png,3.571428571,0.3125,3.5,0.0,0.0,0.03125,3.0,0.0,0.0,0.125,3.75,0.09375,3.33333333333333,0.0,0.0,0.0,0.0,0.0625,4.0,0.0,0.0,0.375
179_RUAS_v1.png,2.933333333,0.0882352941176471,3.0,0.176470588235294,3.5,0.0294117647058823,2.0,0.0294117647058823,4.0,0.0,0.0,0.235294117647059,2.625,0.0,0.0,0.0294117647058823,4.0,0.0294117647058823,4.0,0.0294117647058823,2.0,0.352941176470588
179_RQ_LLIE_v1.png,2.8,0.0625,2.5,0.28125,3.33333333333333,0.09375,3.33333333333333,0.0,0.0,0.125,3.5,0.03125,4.0,0.0625,3.5,0.03125,2.0,0.03125,4.0,0.0,0.0,0.28125
179_RetinexNet_v1.png,1.933333333,0.28125,2.88888888888889,0.09375,3.66666666666667,0.0625,2.5,0.03125,2.0,0.0,0.0,0.3125,2.5,0.0,0.0,0.0,0.0,0.15625,2.6,0.0,0.0,0.0625
179_Retinexmamba_v1.png,3.4,0.0294117647058823,4.0,0.176470588235294,3.66666666666667,0.117647058823529,3.75,0.0,0.0,0.147058823529412,4.2,0.0588235294117647,4.0,0.0,0.0,0.0294117647058823,4.0,0.0294117647058823,3.0,0.0,0.0,0.411764705882353
179_Retinexformer_v1.png,3.466666667,0.0625,4.5,0.09375,4.66666666666667,0.03125,3.0,0.0,0.0,0.28125,3.55555555555555,0.0625,4.0,0.0,0.0,0.03125,2.0,0.03125,4.0,0.03125,3.0,0.375
179_PairLIE_v1.png,2.266666667,0.233333333333333,3.42857142857143,0.233333333333333,2.71428571428571,0.1,2.33333333333333,0.0333333333333333,3.0,0.0333333333333333,3.0,0.233333333333333,2.28571428571429,0.0,0.0,0.0333333333333333,3.0,0.0666666666666667,2.5,0.0,0.0,0.0333333333333333
179_our_v1.png,4.333333333,0.0277777777777778,4.0,0.138888888888889,4.0,0.0555555555555556,3.5,0.0,0.0,0.111111111111111,3.75,0.0,0.0,0.0,0.0,0.0277777777777778,5.0,0.0277777777777778,3.0,0.0,0.0,0.611111111111111
179_Our_syn_v1.png,3.733333333,0.0,0.0,0.125,3.6,0.15,3.0,0.075,3.33333333333333,0.075,4.0,0.0,0.0,0.2,3.25,0.025,4.0,0.0,0.0,0.0,0.0,0.35
